"A direct NOP (no operation) implementation of Logger.

@author Ceki G&uuml;lc&uuml;","Markers are named objects used to enrich log statements. Conforming logging
system Implementations of SLF4J determine how information conveyed by markers
are used, if at all. In particular, many conforming logging systems ignore
marker data.

Markers can contain references to other markers, which in turn may contain
references of their own.

@author Ceki G&uuml;lc&uuml;",-1,# Class  NOPLogger    (NOPLogger.java),# Interface  Marker    (Marker.java),1
"A direct NOP (no operation) implementation of Logger.

@author Ceki G&uuml;lc&uuml;","NOPLoggerFactory is an trivial implementation of {@link
ILoggerFactory} which always returns the unique instance of
NOPLogger.

@author Ceki G&uuml;lc&uuml;",-1,# Class  NOPLogger    (NOPLogger.java),# Class  NOPLoggerFactory    (NOPLoggerFactory.java),1
"A direct NOP (no operation) implementation of Logger.

@author Ceki G&uuml;lc&uuml;","The org.slf4j.Logger interface is the main user entry point of SLF4J API.
It is expected that logging takes place through concrete implementations
of this interface.

Typical usage pattern:

import org.slf4j.Logger;
import org.slf4j.LoggerFactory;

public class Wombat {

<span style=""color:green"">final static Logger logger = LoggerFactory.getLogger(Wombat.class);
Integer t;
Integer oldT;

public void setTemperature(Integer temperature) {
oldT = t;
t = temperature;
<span style=""color:green"">logger.debug(""Temperature set to {}. Old temperature was {}."", t, oldT);
if(temperature.intValue() > 50) {
<span style=""color:green"">logger.info(""Temperature has risen above 50 degrees."");
}
}
}

Be sure to read the FAQ entry relating to <a href=""../../../faq.html#logging_performance"">parameterized
logging. Note that logging statements can be parameterized in
<a href=""../../../faq.html#paramException"">presence of an exception/throwable.

Once you are comfortable using loggers, i.e. instances of this interface, consider using
<a href=""MDC.html"">MDC as well as <a href=""Marker.html"">Markers.

@author Ceki G&uuml;lc&uuml;",-1,# Class  NOPLogger    (NOPLogger.java),# Interface  Logger    (Logger.java),1
"A logger implementation which logs via a delegate logger. By default, the delegate is a
NOPLogger. However, a different delegate can be set at any time.

See also the <a href=""http://www.slf4j.org/codes.html#substituteLogger"">relevant
error code documentation.

@author Chetan Mehrotra
@author Ceki Gulcu","Markers are named objects used to enrich log statements. Conforming logging
system Implementations of SLF4J determine how information conveyed by markers
are used, if at all. In particular, many conforming logging systems ignore
marker data.

Markers can contain references to other markers, which in turn may contain
references of their own.

@author Ceki G&uuml;lc&uuml;",-1,# Class  SubstituteLogger    (SubstituteLogger.java),# Interface  Marker    (Marker.java),1
"A simple implementation of the Marker interface.

@author Ceki G&uuml;lc&uuml;
@author Joern Huxhorn","A logger implementation which logs via a delegate logger. By default, the delegate is a
NOPLogger. However, a different delegate can be set at any time.

See also the <a href=""http://www.slf4j.org/codes.html#substituteLogger"">relevant
error code documentation.

@author Chetan Mehrotra
@author Ceki Gulcu",-1,# Class  BasicMarker    (BasicMarker.java),# Class  SubstituteLogger    (SubstituteLogger.java),1
"A simple implementation of the Marker interface.

@author Ceki G&uuml;lc&uuml;
@author Joern Huxhorn","Basic MDC implementation, which can be used with logging systems that lack
out-of-the-box MDC support.

This code was initially inspired by  logback's LogbackMDCAdapter. However,
LogbackMDCAdapter has evolved and is now considerably more sophisticated.

@author Ceki Gulcu
@author Maarten Bosteels
@author Lukasz Cwik

@since 1.5.0",-1,# Class  BasicMarker    (BasicMarker.java),# Class  BasicMDCAdapter    (BasicMDCAdapter.java),1
"Add a reference to another Marker.

@param reference
a reference to another marker
@throws IllegalArgumentException
if 'reference' is null","Does this marker contain a reference to the 'other' marker? Marker A is defined
to contain marker B, if A == B or if B is referenced by A, or if B is referenced
by any one of A's references (recursively).

@param other
The marker to test for inclusion.
@throws IllegalArgumentException
if 'other' is null
@return Whether this marker contains the other marker.",-1,# Method  public void add(Marker reference)    (Marker.java),# Method  public boolean contains(Marker other)    (Marker.java),1
"Add a reference to another Marker.

@param reference
a reference to another marker
@throws IllegalArgumentException
if 'reference' is null","Does this marker have any references?

@return true if this marker has one or more references, false otherwise.",-1,# Method  public void add(Marker reference)    (Marker.java),# Method  public boolean hasReferences()    (Marker.java),1
"Add a reference to another Marker.

@param reference
a reference to another marker
@throws IllegalArgumentException
if 'reference' is null","Remove a marker reference.

@param reference
the marker reference to remove
@return true if reference could be found and removed, false otherwise.",-1,# Method  public void add(Marker reference)    (Marker.java),# Method  public boolean remove(Marker reference)    (Marker.java),1
"An almost trivial implementation of the IMarkerFactory
interface which creates BasicMarker instances.

Simple logging systems can conform to the SLF4J API by binding
org.slf4j.MarkerFactory with an instance of this class.

@author Ceki G&uuml;lc&uuml;","A direct NOP (no operation) implementation of Logger.

@author Ceki G&uuml;lc&uuml;",-1,# Class  BasicMarkerFactory    (BasicMarkerFactory.java),# Class  NOPLogger    (NOPLogger.java),1
